,date,time,username,tweet,retweets_count,likes_count
0,2021-04-24,15:11:54,parkdoo8,천안버스 타고 초만에 욕 나오네 승객이 어쩌고 말고 무조건 밟고 보는 거야,0,0
1,2021-04-24,13:47:22,apollo7951,아 역시 천안 버스 분만에 정 거장,0,1
2,2021-04-23,19:08:20,acssy02,천안버스 베스트 드라이버,0,0
3,2021-04-22,18:51:26,startpage_,지금 버스에서 어떤 아줌마가 천안 버스 존 나 비싸다고 버스 기사 아저씨 갈구는 중 ㅋㅋ,0,0
4,2021-04-22,18:06:53,yama_turn,천안 버스 너무 격하게 몰아 아 어지러워,0,1
5,2021-04-22,16:31:11,gyu_ho_han,잊을 만 하면 다시금 빡치는 천안 버스 기사들,0,0
6,2021-04-22,00:44:01,sinsegae336,여기 천안 버스도 만만치 않죠,0,0
7,2021-04-21,14:55:40,_ma_til_da,어메이징 천안 버스,0,0
8,2021-04-21,10:34:16,suwonbus35,천안버스 난폭운전만 빼고 괜찮은데 ㅜㅜ,0,3
9,2021-04-21,08:03:57,harrygir1friend,오늘도 격 하디 격한 천안 버스 안에서 꼭두각시 마냥 흔들리면서 등교,0,0
10,2021-04-20,09:28:59,pushrod6200,ㅋㅋ 나름 만큼 빠르다는 급 행 번이랑 를 시행 중인 대구 시 내 에서 제끼고 혼자 개썅 마이웨이로 달리고 계심 ㅋㅋㅋ 부산버스 몰 것고 천안버스에 유일한 대항마 경산버스 이 거 대우 디젤이었음 지금쯤 단 레드존,0,1
11,2021-04-19,19:21:14,you__me_01,아니ㅋㅋ 저희 천안 버스는 사람 많든 적든 그냥 질주 ㅎㅎ 다른 버스 랑 누가 먼저 도착하는지 내기 한답니다,0,1
12,2021-04-19,13:19:43,pine_vv,와 새삼 인천버스타니까 천안버스가 얼마나 비싼 줄 알겠네 천안 카드로 원인데 여기 원임 ㅋㅋ,0,1
13,2021-04-17,16:02:19,puchooycnd,근데 천안 버스 노선 언제 개편하냐,0,0
14,2021-04-16,16:09:35,jeolmi_in_,ㅅㅂ 안 버스 넘 비싸 지하철 버스 환승 안 돼서 지하철만 천원씩 삥뜩 김 학교 셔틀 안 타면 천 원 뜯김,0,1
15,2021-04-15,10:46:47,lee___0430,천안버스 할 많하않,0,4
16,2021-04-15,10:25:24,kimmasaki1224,ㅋㅋ ㅋㅋ 진짜 넘 웃겨 ㅋㅋ 경기도랑 용호상박이지만 천안 버스가 레전 드라 들었습니다,0,5
17,2021-04-15,10:24:13,lee___0430,음 천안 버스는 손 흔들지 않으면 멈추지 않지 자리에 착석 하든 말든 급 출발하지,0,3
18,2021-04-14,17:27:46,sleeping_gomi,천안 버스는 진짜 미 친놈이에,0,0
19,2021-04-13,13:16:15,newqury,난 천안버스에 기사에 대한 폭력이나 폭언은 처벌 가능하담 거 붙아 있을 때마다 꼴받는 다니까 천안한 정 승객에 대한 폭력이나 폭언은 처벌 가능하다고 창문에 ㅈㄴ 크게 붙여두고 싶음 승객도 사람이 야 ㅆ 발러마 인권 있어 고소돼,0,1
20,2021-04-10,17:57:05,be_non_,아나 독겠네 천안 버스 다 사라졌냐,0,1
21,2021-04-09,00:38:57,sinsegae336,천안버스 특 청소년 성인 요금 카드 기준 원 즉 약 원 차이남,0,0
22,2021-04-08,22:20:32,will_s_the_wisp,천안 갈 때마다 버스가 왜 케 모든 면에서 처참하지 했는데 걍 천안 버스가 전국 최악인 거였음을,0,0
23,2021-04-08,09:15:46,will_s_the_wisp,천안 버스는 왜 케 사이클이 기 묘하지,0,0
24,2021-04-07,18:07:28,ryogiofjongno,ㅋㅋㅋ 천안버스 어떤 할머니가 기사한테 오예스 같은 거 드리고 호다닥 자리로 갔는데 기사님이 아 안 먹어요 가져가요 자리에 앉은 할머니 그냥 먹어 유 해서 기사님 걍 받으심,0,3
