,routeid,routeno,startnodenm,startvehicletime,endnodenm,endvehicletime,intervaltime
0,CAB285000006,11,두정우성아파트,0605,두정우남아파트,2230,10
1,CAB285000007,11,두정우남아파트,0610,두정한성아파트,2230,10
2,CAB285000008,12,방아다리공원,0604,부영아파트,2230,7
3,CAB285000009,12,부영아파트,0605,방아다리공원,2222,7
4,CAB285000010,13,단대병원,0600,천안아산역,2230,11
5,CAB285000011,13,천안아산역,0605,단대병원,2245,11
6,CAB285000012,14,방아다리공원,0600,백석대학교(운동장),2220,10
7,CAB285000013,14,백석대학교(운동장),0610,방아다리공원,2215,10
8,CAB285000024,24,각원사,0610,동우아파트,2230,20
9,CAB285000025,24,동우아파트,0620,각원사,2225,20
10,CAB285000293,81,각원사,0620,차암2통,2240,20
11,CAB285000294,81,차암2통,0630,각원사,2230,20
