,routeid,routeno,startnodenm,startvehicletime,endnodenm,endvehicletime,intervaltime
0,CAB285000006,11,두정우성아파트,0605,두정우남아파트,2230,10
1,CAB285000007,11,두정우남아파트,0610,두정한성아파트,2230,10
2,CAB285000008,12,방아다리공원,0604,부영아파트,2230,7
3,CAB285000009,12,부영아파트,0605,방아다리공원,2222,7
4,CAB285000010,13,단대병원,0600,천안아산역,2230,11
5,CAB285000011,13,천안아산역,0605,단대병원,2245,11
6,CAB285000012,14,방아다리공원,0600,백석대학교(운동장),2220,10
7,CAB285000013,14,백석대학교(운동장),0610,방아다리공원,2215,10
8,CAB285000016,20,단대병원,0600,천안아산역,2215,20
9,CAB285000017,20,천안아산역,0610,단대병원,2225,20
10,CAB285000024,24,각원사,0610,동우아파트,2230,20
11,CAB285000025,24,동우아파트,0620,각원사,2225,20
12,CAB285000293,81,각원사,0620,차암2통,2240,20
13,CAB285000294,81,차암2통,0630,각원사,2230,20
14,CAB285000054,100,천안역,0610,남서울대학교 주차장,0650,20
15,CAB285000055,100,남서울대학교 주차장,0655,천안역,2235,20
16,CAB285000062,110,천안역,0600,남서울대학교 주차장,0720,19
17,CAB285000063,110,남서울대학교 주차장,0625,천안역,2245,19
18,CAB285000104,200,천안역,0610,입장회차지,2250,20
19,CAB285000105,200,입장(회차지),0635,천안역,2230,20
20,CAB285000106,201,신부경남아파트,0600,한마음세차장,2050,20
21,CAB285000107,201,봉산로타리.안성시청,0620,신부경남아파트,2205,20
22,CAB285000222,700,안서동(문암),0600,전의읍내리(종점),2140,0
23,CAB285000223,700,전의읍내리(종점),0630,안서동(문암),2230,0
24,CAB285000226,710,안서동(문암),0620,광정,1940,0
25,CAB285000227,710,광정,0710,안서동(문암),2055,0
