,노선번호,순서(nodeord),노선아이디(routeid),정류소아이디(nodeid),정류소명(nodenm),정류소번호(nodeno),위도(Y)좌표(gpslati),경도(X)좌표(gpslong)
0,11,stop1,CAB285000006,CAB285000908,성정1동행정복지센터,908,127.14260215,36.81804075
1,11,stop2,CAB285000006,CAB285000678,천안역,678,127.14884241,36.80911797
2,11,stop3,CAB285000006,CAB285010014,종합터미널,2356,127.155972,36.8187797
3,11,stop4,CAB285000006,CAB285071397,단국대입구,2362,127.166025,36.832982
4,11,stop5,CAB285000006,CAB285001034,두정역,1034,127.14733408,36.83304298
5,11,stop1,CAB285000007,CAB285001035,두정역,1035,127.14790527,36.83266484
6,11,stop2,CAB285000007,CAB285071397,단국대입구,2362,127.166025,36.832982
7,11,stop3,CAB285000007,CAB285000686,종합터미널,686,127.15564408,36.81897133
8,11,stop4,CAB285000007,CAB285000655,천안역 동부광장,655,127.147642,36.8083388
9,11,stop5,CAB285000007,CAB285000907,성정1동행정복지센터,907,127.14259575,36.81729464
10,12,stop1,CAB285000008,CAB285000862,용암마을,862,127.11944907,36.80091465
11,12,stop2,CAB285000008,CAB285000887,쌍용패션거리,887,127.13192013,36.80244569
12,12,stop3,CAB285000008,CAB285000907,성정1동행정복지센터,907,127.14259575,36.81729464
13,12,stop4,CAB285000008,CAB285010014,종합터미널,2356,127.155972,36.8187797
14,12,stop5,CAB285000008,CAB285000284,선문대(천안),284,127.1646065,36.7730421
15,12,stop1,CAB285000009,CAB285000285,선문대(천안),285,127.16492241,36.77294961
16,12,stop2,CAB285000009,CAB285000687,고속터미널,687,127.15454074,36.81895798
17,12,stop3,CAB285000009,CAB285000908,성정1동행정복지센터,908,127.14260215,36.81804075
18,12,stop4,CAB285000009,CAB285000890,열린치과,890,127.12904741,36.80322966
19,12,stop5,CAB285000009,CAB285071650,용암마을,71650,127.1208239,36.8009716
20,13,stop1,CAB285000010,CAB285000642,상명대학교,642,127.17300075,36.8330796
21,13,stop2,CAB285000010,CAB285000686,종합터미널,686,127.15564408,36.81897133
22,13,stop3,CAB285000010,CAB285000669,버들육거리,669,127.1522197,36.8055523
23,13,stop4,CAB285000010,CAB285000852,신촌초등학교,852,127.12325741,36.7864263
24,13,stop5,CAB285000010,CAB288002218,아산역,2218,127.10288,36.79158
