,routeno,routeid,stop1,stop2,stop3,stop4,stop5
0,11,CAB285000006,성정1동행정복지센터,천안역,종합터미널,단국대입구,두정역
1,11,CAB285000007,두정역,단국대입구,종합터미널,천안역 동부광장,성정1동행정복지센터
2,12,CAB285000008,용암마을,쌍용패션거리,성정1동행정복지센터,종합터미널,선문대(천안)
3,12,CAB285000009,선문대(천안),고속터미널,성정1동행정복지센터,열린치과,용암마을
4,13,CAB285000010,상명대학교,종합터미널,버들육거리,신촌초등학교,아산역
5,13,CAB285000011,아산역,신방초원아파트,버들육거리,종합터미널,상명대학교
6,14,CAB285000012,두정도서관,두정역,종합터미널,상명대학교,백석대 정문
7,14,CAB285000013,백석대 정문,상명대학교,고속터미널,두정역,두정도서관
8,20,CAB285000016,단대병원,고속터미널,두정역,계광중학교,용암마을
9,20,CAB285000017,용암마을,계광중학교,두정역,종합터미널,단대병원
10,24,CAB285000024,호서대(천안),종합터미널,천안역 동부광장,천안동중학교,천안삼거리장례식장
11,24,CAB285000025,천안삼거리장례식장,구성동중앙신협,천안역 동부광장,종합터미널,호서대(천안)
12,81,CAB285000293,호서대(천안),고속터미널,두정역,두정도서관,코스트코
13,81,CAB285000294,코스트코,두정도서관,두정역,종합터미널,호서대(천안)
14,100,CAB285000054,천안역,신부청광아파트,두정역입구,직산역입구,성환역
15,100,CAB285000055,성환역,두정역입구,방죽안오거리,천안역,버들육거리
16,110,CAB285000062,천안역,방죽안오거리,신부청광아파트,두정역입구,성환역
17,110,CAB285000063,성환역,직산역입구,두정역입구,신부청광아파트,천안역
18,200,CAB285000104,천안역,종합터미널,상명대학교,단대병원,충남예술고등학교
19,200,CAB285000105,충남예술고등학교,단대병원,상명대학교,종합터미널,천안역
20,201,CAB285000106,천안역,종합터미널,상명대학교,단대병원,충남예술고등학교
21,201,CAB285000107,충남예술고등학교,단대병원,상명대학교,종합터미널,천안역
22,700,CAB285000222,백석대 정문,상명대학교,종합터미널,천안역 동부광장,선문대(천안)
23,700,CAB285000223,선문대(천안),천안역 동부광장,종합터미널,상명대학교,백석대정문
24,710,CAB285000226,백석대 정문,상명대학교,종합터미널,천안역 동부광장,선문대(천안)
25,710,CAB285000227,선문대(천안),천안역 동부광장,종합터미널,상명대학교,백석대정문
